# 多晶材料三角形网格信息文件 (晶界细密-晶粒粗糙版)
# 生成时间: 2025-03-31 18:48:04
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: mix_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域生成细密三角形网格，晶粒区域生成粗糙三角形网格
# ==========================================

# ===== 网格统计 =====
# 总单元数: 795405
# 总三角形单元数: 556695
# 总四边形单元数: 238710
# 晶界区域三角形数: 515156 (64.77%)
# 晶界区域四边形数: 0 (0.0%)
# 晶粒区域三角形数: 41539 (5.22%)
# 晶粒区域四边形数: 238710 (30.01%)
# 晶粒区域四边形重组效率: 85.18%

# ===== 物理组网格统计 =====
# 物理组ID,物理组名称,三角形单元数,四边形单元数
319,Boundary_18_5,1181,0
185,Boundary_29_7,653,0
420,Boundary_81_2,624,0
525,Boundary_27_4,921,0
365,Boundary_17_5,756,0
638,Boundary_33_7,715,0
263,Boundary_7_2,602,0
422,Boundary_7_6,1250,0
242,Boundary_41_1,922,0
183,Boundary_26_5,494,0
551,Boundary_20_1,1024,0
224,Boundary_7_3,1168,0
177,Boundary_59_5,1636,0
637,Boundary_23_3,1183,0
523,Boundary_2_4,1052,0
77,Grain_38,76,2499
172,Boundary_55_3,1038,0
103,Boundary_23_2,1399,0
526,Boundary_42_3,1213,0
59,Grain_100,74,2399
211,Boundary_45_2,855,0
358,Boundary_85_3,1103,0
366,Boundary_7_4,1334,0
414,Boundary_16_1,722,0
116,Boundary_34_1,616,0
279,Boundary_78_4,1079,0
79,Grain_78,120,2507
485,Boundary_91_3,1060,0
502,Boundary_69_4,411,0
528,Boundary_58_2,466,0
535,Boundary_81_4,923,0
46,Grain_66,745,2257
152,Boundary_3_4,456,0
250,Boundary_92_2,619,0
448,Boundary_88_2,860,0
610,Boundary_88_6,859,0
438,Boundary_18_6,602,0
436,Boundary_83_3,983,0
454,Boundary_61_6,432,0
154,Boundary_46_2,614,0
206,Boundary_57_5,1211,0
