# 多晶材料结构化网格信息文件 (晶粒算法8优化版)
# 生成时间: 2025-03-31 23:35:19
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: quad_domi_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域使用算法6(Frontal-Delaunay)，晶粒内部使用算法8(Delaunay for Quads)
# ==========================================
# 四边形晶界数: 567, 非四边形晶界数: 0

# ===== 网格统计 =====
# 总网格单元数: 638089
# 四边形比例: 95.16%
# 晶界区域(算法6)四边形比例: 100.0%
# 晶粒内部(算法8)四边形比例: 88.96%

# ===== Transfinite表面设置结果 =====
# 表面ID,设置结果,原因,识别方法
429,成功,通过,topology
425,成功,通过,topology
220,成功,通过,topology
308,成功,通过,topology
215,成功,通过,topology
319,成功,通过,topology
251,成功,通过,topology
657,成功,通过,topology
115,成功,通过,topology
112,成功,通过,topology
185,成功,通过,topology
348,成功,通过,topology
420,成功,通过,topology
404,成功,通过,topology
612,成功,通过,topology
525,成功,通过,topology
665,成功,通过,topology
417,成功,通过,topology
365,成功,通过,topology
584,成功,通过,topology
333,成功,通过,topology
638,成功,通过,topology
544,成功,通过,topology
168,成功,通过,topology
364,成功,通过,topology
263,成功,通过,topology
506,成功,通过,topology
422,成功,通过,topology
518,成功,通过,topology
242,成功,通过,topology
431,成功,通过,topology
183,成功,通过,topology
651,成功,通过,topology
376,成功,通过,topology
479,成功,通过,topology
551,成功,通过,topology
224,成功,通过,topology
207,成功,通过,topology
603,成功,通过,topology
465,成功,通过,topology
177,成功,通过,topology
430,成功,通过,topology
111,成功,通过,topology
637,成功,通过,topology
264,成功,通过,topology
607,成功,通过,topology
523,成功,通过,topology
130,成功,通过,topology
125,成功,通过,topology
517,成功,通过,topology
666,成功,通过,topology
172,成功,通过,topology
339,成功,通过,topology
598,成功,通过,topology
526,成功,通过,topology
103,成功,通过,topology
280,成功,通过,topology
208,成功,通过,topology
521,成功,通过,topology
336,成功,通过,topology
211,成功,通过,topology
358,成功,通过,topology
366,成功,通过,topology
414,成功,通过,topology
343,成功,通过,topology
127,成功,通过,topology
116,成功,通过,topology
468,成功,通过,topology
565,成功,通过,topology
571,成功,通过,topology
230,成功,通过,topology
279,成功,通过,topology
639,成功,通过,topology
656,成功,通过,topology
195,成功,通过,topology
374,成功,通过,topology
659,成功,通过,topology
141,成功,通过,topology
278,成功,通过,topology
477,成功,通过,topology
450,成功,通过,topology
388,成功,通过,topology
135,成功,通过,topology
578,成功,通过,topology
389,成功,通过,topology
485,成功,通过,topology
644,成功,通过,topology
222,成功,通过,topology
555,成功,通过,topology
655,成功,通过,topology
138,成功,通过,topology
502,成功,通过,topology
528,成功,通过,topology
535,成功,通过,topology
276,成功,通过,topology
107,成功,通过,topology
541,成功,通过,topology
295,成功,通过,topology
619,成功,通过,topology
381,成功,通过,topology
152,成功,通过,topology
475,成功,通过,topology
511,成功,通过,topology
170,成功,通过,topology
247,成功,通过,topology
397,成功,通过,topology
129,成功,通过,topology
238,成功,通过,topology
250,成功,通过,topology
448,成功,通过,topology
663,成功,通过,topology
610,成功,通过,topology
560,成功,通过,topology
438,成功,通过,topology
133,成功,通过,topology
436,成功,通过,topology
258,成功,通过,topology
532,成功,通过,topology
564,成功,通过,topology
184,成功,通过,topology
579,成功,通过,topology
252,成功,通过,topology
137,成功,通过,topology
454,成功,通过,topology
435,成功,通过,topology
154,成功,通过,topology
313,成功,通过,topology
509,成功,通过,topology
427,成功,通过,topology
609,成功,通过,topology
391,成功,通过,topology
237,成功,通过,topology
206,成功,通过,topology
604,成功,通过,topology
529,成功,通过,topology
288,成功,通过,topology
507,成功,通过,topology
588,成功,通过,topology
270,成功,通过,topology
354,成功,通过,topology
500,成功,通过,topology
299,成功,通过,topology
345,成功,通过,topology
573,成功,通过,topology
516,成功,通过,topology
400,成功,通过,topology
522,成功,通过,topology
231,成功,通过,topology
113,成功,通过,topology
432,成功,通过,topology
245,成功,通过,topology
254,成功,通过,topology
283,成功,通过,topology
482,成功,通过,topology
309,成功,通过,topology
527,成功,通过,topology
416,成功,通过,topology
595,成功,通过,topology
142,成功,通过,topology
165,成功,通过,topology
114,成功,通过,topology
624,成功,通过,topology
519,成功,通过,topology
265,成功,通过,topology
325,成功,通过,topology
616,成功,通过,topology
660,成功,通过,topology
136,成功,通过,topology
117,成功,通过,topology
145,成功,通过,topology
418,成功,通过,topology
444,成功,通过,topology
282,成功,通过,topology
558,成功,通过,topology
449,成功,通过,topology
556,成功,通过,topology
275,成功,通过,topology
337,成功,通过,topology
342,成功,通过,topology
530,成功,通过,topology
393,成功,通过,topology
457,成功,通过,topology
460,成功,通过,topology
363,成功,通过,topology
378,成功,通过,topology
557,成功,通过,topology
351,成功,通过,topology
158,成功,通过,topology
218,成功,通过,topology
176,成功,通过,topology
437,成功,通过,topology
587,成功,通过,topology
590,成功,通过,topology
148,成功,通过,topology
623,成功,通过,topology
469,成功,通过,topology
451,成功,通过,topology
118,成功,通过,topology
553,成功,通过,topology
162,成功,通过,topology
494,成功,通过,topology
537,成功,通过,topology
203,成功,通过,topology
292,成功,通过,topology
