# 多晶材料三角形网格信息文件 (晶界细密-晶粒粗糙版)
# 生成时间: 2025-03-31 23:52:13
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: triangle_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域生成细密三角形网格，晶粒区域生成粗糙三角形网格
# ==========================================

# ===== 网格统计 =====
# 总三角形单元数: 1034115
# 晶界区域三角形数: 515156 (49.82%)
# 晶粒区域三角形数: 518959 (50.18%)

# ===== 物理组网格统计 =====
# 物理组ID,物理组名称,三角形单元数
319,Boundary_18_5,1181
185,Boundary_29_7,653
420,Boundary_81_2,624
525,Boundary_27_4,921
365,Boundary_17_5,756
638,Boundary_33_7,715
263,Boundary_7_2,602
422,Boundary_7_6,1250
242,Boundary_41_1,922
183,Boundary_26_5,494
551,Boundary_20_1,1024
224,Boundary_7_3,1168
177,Boundary_59_5,1636
637,Boundary_23_3,1183
523,Boundary_2_4,1052
77,Grain_38,5074
172,Boundary_55_3,1038
103,Boundary_23_2,1399
526,Boundary_42_3,1213
59,Grain_100,4872
211,Boundary_45_2,855
358,Boundary_85_3,1103
366,Boundary_7_4,1334
414,Boundary_16_1,722
116,Boundary_34_1,616
279,Boundary_78_4,1079
79,Grain_78,5134
485,Boundary_91_3,1060
502,Boundary_69_4,411
528,Boundary_58_2,466
535,Boundary_81_4,923
46,Grain_66,5259
152,Boundary_3_4,456
250,Boundary_92_2,619
448,Boundary_88_2,860
610,Boundary_88_6,859
438,Boundary_18_6,602
436,Boundary_83_3,983
454,Boundary_61_6,432
154,Boundary_46_2,614
206,Boundary_57_5,1211
500,Boundary_43_4,841
40,Grain_84,4723
245,Boundary_16_3,1077
595,Boundary_83_1,797
325,Boundary_16_5,1249
616,Boundary_65_2,1054
660,Boundary_3_5,1236
145,Boundary_25_7,898
444,Boundary_43_5,797
558,Boundary_87_2,723
342,Boundary_61_5,460
457,Boundary_8_2,214
